                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.9606,                 1.2648,                 1.5093,                0.93326,                0.78023,                0.91323,                0.46125,                 1.6743,                 1.0053,                 1.1578,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.9708,                 1.2015,                 1.4612,                 0.8128,                0.81991,                0.85951,                0.43005,                 1.8004,                 1.0215,                 1.1963,              0.0015248,              0.0015248,              0.0015248
                     51,                 2.0245,                 1.2652,                 1.5455,                0.92588,                0.75058,                0.87344,                0.43356,                 1.7083,                 1.0952,                 1.1838,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.8878,                 1.2478,                 1.4609,                0.91717,                0.82403,                0.91823,                   0.48,                 1.6501,                  1.002,                 1.1496,               0.001505,               0.001505,               0.001505
                     53,                 1.9211,                 1.2282,                  1.453,                 0.9292,                0.84489,                0.94079,                0.47379,                  1.688,                0.91771,                 1.1547,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.8838,                 1.2156,                 1.4511,                0.86558,                0.73391,                0.85007,                0.42474,                 1.7944,                 1.0991,                 1.1909,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.9519,                 1.3246,                 1.5899,                0.77265,                0.69099,                0.73957,                0.30581,                 1.9579,                 1.6088,                 1.2915,              0.0014753,              0.0014753,              0.0014753
                     56,                 2.0056,                  1.353,                 1.5516,                0.93641,                0.75536,                0.89223,                0.45154,                 1.6656,                 1.0008,                 1.1771,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.8906,                 1.2073,                 1.5246,                0.87164,                0.85408,                0.92187,                 0.4658,                 1.6796,                0.93785,                 1.1467,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.9244,                 1.2791,                 1.4803,                0.95069,                0.82738,                0.94699,                0.46026,                 1.7022,                0.97055,                 1.1704,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.8444,                 1.2452,                 1.5426,                 0.9562,                0.84323,                0.93994,                0.44801,                 1.7647,                0.99544,                 1.1817,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.9361,                 1.2941,                 1.6023,                0.94728,                0.81974,                0.93584,                0.44669,                 1.7872,                0.99124,                 1.1935,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.9232,                 1.2652,                 1.6241,                0.94582,                 0.8242,                0.93324,                0.42915,                 1.6696,                0.97194,                 1.1625,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.8432,                 1.1908,                 1.4945,                0.85659,                0.79471,                0.87352,                0.34986,                 1.8488,                 1.2808,                 1.2182,               0.001406,               0.001406,               0.001406
                     63,                 2.0078,                  1.278,                 1.5799,                0.92748,                0.88412,                0.95727,                0.48268,                 1.6161,                0.97519,                 1.1196,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.9389,                 1.2164,                 1.4545,                0.80372,                0.84355,                0.86641,                0.40381,                 1.7553,                 1.0596,                 1.1825,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.8993,                 1.2346,                 1.5609,                0.92578,                0.85649,                0.94776,                0.49959,                 1.6146,                0.91266,                 1.1417,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.9084,                 1.1967,                 1.4684,                0.89117,                0.83262,                0.90102,                0.49453,                 1.6362,                0.93134,                  1.135,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.8163,                 1.2115,                 1.5749,                0.91094,                0.87983,                0.93392,                0.47835,                 1.6148,                0.88628,                 1.1464,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.8865,                 1.2062,                 1.4629,                0.82865,                0.74719,                0.80587,                0.38018,                 1.7513,                   1.21,                 1.1795,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.7486,                 1.1003,                 1.3803,                0.92439,                0.83954,                 0.9475,                 0.4842,                 1.5691,                0.97088,                 1.1296,              0.0013367,              0.0013367,              0.0013367
                     70,                  1.831,                 1.2012,                  1.545,                0.91562,                0.82403,                0.90678,                0.44314,                 1.6886,                 1.1859,                 1.1803,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.7808,                 1.1452,                 1.4307,                0.94098,                0.80258,                0.92574,                0.46395,                 1.6929,                 1.0183,                 1.1481,              0.0013169,              0.0013169,              0.0013169
                     72,                  1.739,                 1.1202,                 1.4325,                0.95751,                0.88841,                0.96131,                0.50583,                 1.5784,                0.88805,                 1.1349,               0.001307,               0.001307,               0.001307
                     73,                 1.7678,                   1.16,                 1.5207,                0.93391,                0.90978,                0.95738,                0.49229,                 1.6259,                0.91174,                 1.1729,              0.0012971,              0.0012971,              0.0012971
